tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Almora,3,AJAY TAMTA,Bharatiya Janata Party,5,PRADEEP TAMTA,Indian National Congress,0,234097,Uttrakand
Garhwal,2,ANIL BALUNI,Bharatiya Janata Party,5,GANESH GODIYAL,Indian National Congress,0,163503,Uttrakand
Haridwar,5,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,5,VIRENDRA RAWAT,Indian National Congress,0,164056,Uttrakand
Nainital-Udhamsingh Nagar,4,AJAY BHATT,Bharatiya Janata Party,5,PRAKASH JOSHI,Indian National Congress,0,334548,Uttrakand
Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,5,JOT SINGH GUNSOLA,Indian National Congress,0,272493,Uttrakand
