tablescraper-selected-row,tooltip-icon,tooltiptext,table,table 2,table 3,table 4,table 6,table 7,State
Shillong,1,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,1,VINCENT H. PALA,Indian National Congress,1,371910,Meghalaya
Tura,2,SALENG A SANGMA,Indian National Congress,1,AGATHA K SANGMA,National People's Party,0,155241,Meghalaya
